Date	Day	Focus Area	Main Goal	Primary Tasks	Deliverable / Exit Criteria	Dependencies / Notes
2026-04-03	Friday	RLS / project control	Close out security baseline	Verify text-based RLS on accounts, posts, media, and post_media; prepare reporting sheet; align senior on Phase 1 plan	RLS verified and reporting tracker ready	Completed baseline day
2026-04-04	Saturday	OAuth hardening	Finish callback testing flow	Test Facebook and Instagram callback end to end locally; verify LinkedIn, Google, and Twitter login redirect params; capture provider config gaps	Per-provider callback checklist with pass/fail and config issues	Needs valid provider callback registration
2026-04-05	Sunday	Account connection UX	Stabilize connected-account experience	Add callback success/failure frontend handling plan; verify accounts list and status refresh after connect; define redirect-back UX	Account connection flow documented and manually testable	Current callback still returns backend JSON
2026-04-06	Monday	Publishing architecture	Map real publisher requirements	Define required APIs and payloads for Facebook Pages, Instagram Professional, LinkedIn, X, and YouTube	Provider integration matrix with required scopes and endpoint mapping	Use current mock publisher as reference point
2026-04-07	Tuesday	Facebook publishing	Implement first real provider publisher	Add Facebook Page publish service and payload builder; map stored account token usage	Real Facebook publish service stubbed and unit-testable	Should target Page posting only
2026-04-08	Wednesday	Facebook publishing	Complete Facebook posting path	Connect worker publisher to Facebook service; save provider post ID; handle API errors	Facebook publish path works for simple text post	Requires valid test Page/account
2026-04-09	Thursday	Instagram publishing	Prepare Instagram publishing flow	Support linked Instagram professional account lookup and media-first publishing logic	Instagram service flow documented and coded for test path	Meta app must support Instagram Graph API
2026-04-10	Friday	Instagram publishing	Implement Instagram media publish	Add container creation / publish steps; handle caption and first comment mapping	Instagram publish service testable with media post	Professional account only
2026-04-11	Saturday	LinkedIn publishing	Implement LinkedIn text/media publish	Add LinkedIn author lookup strategy and post payload service	LinkedIn publish path created	Need LinkedIn member scopes already configured
2026-04-12	Sunday	Twitter / X publishing	Implement X posting service	Add OAuth token usage and publish request flow for text/media	X publish path created	Confirm API product access limits
2026-04-13	Monday	YouTube publishing	Implement YouTube upload flow	Add upload metadata mapping, privacy status handling, and publish result persistence	YouTube publish path created	May need resumable upload support later
2026-04-14	Tuesday	Publisher refactor	Unify provider adapters	Replace mock-only publisher path with provider dispatch layer	Publisher routes by platform and stores real outcomes	Keep fallback mock mode for unsupported providers
2026-04-15	Wednesday	Retry strategy	Improve reliability	Add retry policy, retry delay strategy, and clearer failure recording	Failed posts can retry predictably	May use Celery retry/countdown or explicit reschedule
2026-04-16	Thursday	Scheduling robustness	Harden scheduling behavior	Verify timezone handling, immediate vs delayed behavior, and cancel-before-run edge cases	Scheduling edge cases covered and tested	Current UTC handling already improved
2026-04-17	Friday	Media lifecycle	Improve upload and attachment flow	Validate image/video/raw handling, cleanup, and post-media integrity	Media handling stable across providers	Need provider-specific media constraints
2026-04-18	Saturday	Frontend dashboard	Improve operations visibility	Show platform connection health, counts, and recent activity	Useful operator dashboard live	Keep UI simple and practical
2026-04-19	Sunday	Frontend composer	Improve post creation UX	Add better validation, clearer platform-specific sections, and better schedule input	Composer feels production-ready for internal users	Maintain backend JSONB compatibility
2026-04-20	Monday	Scheduled posts UI	Improve management sheet	Add filters, status chips, refresh behavior, and action feedback	Scheduled posts page is reliable for operations	Current table already exists
2026-04-21	Tuesday	Callback UX	Redirect back to frontend after connect	Replace raw JSON callback finish with frontend redirect and result messaging	OAuth flow feels complete from UI side	Requires frontend success/failure routes
2026-04-22	Wednesday	Auth / tenant handling	Prepare proper auth direction	Document future JWT tenant extraction; reduce dev fallback dependence	Tenant/auth roadmap aligned with team	Keep current dev fallback until auth exists
2026-04-23	Thursday	Database cleanup	Align schema with production expectations	Review enums, triggers, indexes, and migration ownership; decide when to remove `create_all`	Schema strategy documented and safer for production	Alembic should become source of truth
2026-04-24	Friday	Testing	Add backend regression coverage	Create tests for account isolation, post creation, schedule state changes, and publisher dispatch	Core backend tests added	Prioritize API and service-layer tests
2026-04-25	Saturday	Testing	Add integration checks	Add end-to-end local verification checklist for connect, upload, create, schedule, cancel, publish	Repeatable QA checklist available	Useful for demos and senior review
2026-04-26	Sunday	Security / secrets	Strengthen operational safety	Review env handling, token encryption usage, and secret exposure risks	Security notes and action items documented	Do not commit real credentials
2026-04-27	Monday	Deployment prep	Prepare backend hosting plan	Document stable deployment path for backend, worker, beat, Redis, and Postgres	Deployment blueprint ready	Can still stay local during dev
2026-04-28	Tuesday	Stable callback domain	Prepare provider migration to subdomain	List final callback URLs and required provider dashboard updates	Provider update sheet ready	Depends on team-provided domain
2026-04-29	Wednesday	Observability	Add runtime visibility	Improve logs, worker diagnostics, and operator-facing error details	Debugging gets easier	Consider structured logs later
2026-04-30	Thursday	Data operations	Add admin / maintenance helpers	Plan resend, retry, deactivate account, and cleanup flows	Operator actions clearly defined	Some already exist partially
2026-05-01	Friday	UAT prep	Internal acceptance pass	Run full system pass with connected accounts, uploads, immediate and scheduled posting	Known issues list and go/no-go notes ready	Use real provider sandbox/test accounts
2026-05-02	Saturday	Buffer / polish	Close highest-risk gaps	Fix highest-priority bugs from UAT and deployment review	System stable enough for team demo	Use this day as contingency
